SrNo,Parameter,Unit,Date,Value,Data Source,Location,Latitude,Longitude
490,Sulphate,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
491,Chloride,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
492,Total alkalinity as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
493,P-Alkalinity,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
494,Fluoride,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
495,Colour,Hazen,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
496,Boron(B),mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
497,TKN,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
498,Potassium,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
499,Sodium,mg/l,"[01-06-2018, 30-06-2018]",,CPCB,3BRD,30.6921376,76.7361159
500,Total Coliform,MPN/100ml,"[01-06-2018, 30-06-2018]",1100.0,CPCB,3BRD,30.6921376,76.7361159
501,Faecal Coliform,MPN/100ml,"[01-06-2018, 30-06-2018]",690.0,CPCB,3BRD,30.6921376,76.7361159
502,pH,-,"[01-07-2018, 31-07-2018]",7.5,CPCB,3BRD,30.6921376,76.7361159
503,Conductivity,µs/cm,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
504,DO,mg/l,"[01-07-2018, 31-07-2018]",5.4,CPCB,3BRD,30.6921376,76.7361159
505,COD,mg/l,"[01-07-2018, 31-07-2018]",73.0,CPCB,3BRD,30.6921376,76.7361159
506,BOD,mg/l,"[01-07-2018, 31-07-2018]",25.0,CPCB,3BRD,30.6921376,76.7361159
507,NO3-N,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
508,NH3-N,mg/l,"[01-07-2018, 31-07-2018]",5.0,CPCB,3BRD,30.6921376,76.7361159
509,Phosphate,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
510,TSS,mg/l,"[01-07-2018, 31-07-2018]",77.0,CPCB,3BRD,30.6921376,76.7361159
511,TDS,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
512,FS,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
513,Turbidity,NTU,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
514,TH as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
515,Ca as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
516,Mg as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
517,Sulphate,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
518,Chloride,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
519,Total alkalinity as CaCO3,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
520,P-Alkalinity,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
521,Fluoride,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
522,Colour,Hazen,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
523,Boron(B),mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
524,TKN,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
525,Potassium,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
526,Sodium,mg/l,"[01-07-2018, 31-07-2018]",,CPCB,3BRD,30.6921376,76.7361159
527,Total Coliform,MPN/100ml,"[01-07-2018, 31-07-2018]",1800.0,CPCB,3BRD,30.6921376,76.7361159
528,Faecal Coliform,MPN/100ml,"[01-07-2018, 31-07-2018]",920.0,CPCB,3BRD,30.6921376,76.7361159
529,pH,-,"[01-08-2018, 31-08-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
530,Conductivity,µs/cm,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
531,DO,mg/l,"[01-08-2018, 31-08-2018]",4.6,CPCB,3BRD,30.6921376,76.7361159
532,COD,mg/l,"[01-08-2018, 31-08-2018]",25.0,CPCB,3BRD,30.6921376,76.7361159
533,BOD,mg/l,"[01-08-2018, 31-08-2018]",9.0,CPCB,3BRD,30.6921376,76.7361159
534,NO3-N,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
535,NH3-N,mg/l,"[01-08-2018, 31-08-2018]",5.0,CPCB,3BRD,30.6921376,76.7361159
536,Phosphate,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
537,TSS,mg/l,"[01-08-2018, 31-08-2018]",5.0,CPCB,3BRD,30.6921376,76.7361159
538,TDS,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
539,FS,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
540,Turbidity,NTU,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
541,TH as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
542,Ca as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
543,Mg as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
544,Sulphate,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
545,Chloride,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
546,Total alkalinity as CaCO3,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
547,P-Alkalinity,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
548,Fluoride,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
549,Colour,Hazen,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
550,Boron(B),mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
551,TKN,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
552,Potassium,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
553,Sodium,mg/l,"[01-08-2018, 31-08-2018]",,CPCB,3BRD,30.6921376,76.7361159
554,Total Coliform,MPN/100ml,"[01-08-2018, 31-08-2018]",7600.0,CPCB,3BRD,30.6921376,76.7361159
555,Faecal Coliform,MPN/100ml,"[01-08-2018, 31-08-2018]",3200.0,CPCB,3BRD,30.6921376,76.7361159
556,pH,-,"[01-09-2018, 30-09-2018]",7.7,CPCB,3BRD,30.6921376,76.7361159
557,Conductivity,µs/cm,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
558,DO,mg/l,"[01-09-2018, 30-09-2018]",5.1,CPCB,3BRD,30.6921376,76.7361159
559,COD,mg/l,"[01-09-2018, 30-09-2018]",17.0,CPCB,3BRD,30.6921376,76.7361159
560,BOD,mg/l,"[01-09-2018, 30-09-2018]",5.0,CPCB,3BRD,30.6921376,76.7361159
561,NO3-N,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
562,NH3-N,mg/l,"[01-09-2018, 30-09-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
563,Phosphate,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
564,TSS,mg/l,"[01-09-2018, 30-09-2018]",25.0,CPCB,3BRD,30.6921376,76.7361159
565,TDS,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
566,FS,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
567,Turbidity,NTU,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
568,TH as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
569,Ca as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
570,Mg as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
571,Sulphate,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
572,Chloride,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
573,Total alkalinity as CaCO3,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
574,P-Alkalinity,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
575,Fluoride,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
576,Colour,Hazen,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
577,Boron(B),mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
578,TKN,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
579,Potassium,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
580,Sodium,mg/l,"[01-09-2018, 30-09-2018]",,CPCB,3BRD,30.6921376,76.7361159
581,Total Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",7.6E+4,CPCB,3BRD,30.6921376,76.7361159
582,Faecal Coliform,MPN/100ml,"[01-09-2018, 30-09-2018]",1.4E+4,CPCB,3BRD,30.6921376,76.7361159
583,pH,-,"[01-10-2018, 31-10-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
584,Conductivity,µs/cm,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
585,DO,mg/l,"[01-10-2018, 31-10-2018]",4.8,CPCB,3BRD,30.6921376,76.7361159
586,COD,mg/l,"[01-10-2018, 31-10-2018]",11.0,CPCB,3BRD,30.6921376,76.7361159
587,BOD,mg/l,"[01-10-2018, 31-10-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
588,NO3-N,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
589,NH3-N,mg/l,"[01-10-2018, 31-10-2018]",3.0,CPCB,3BRD,30.6921376,76.7361159
590,Phosphate,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
591,TSS,mg/l,"[01-10-2018, 31-10-2018]",9.0,CPCB,3BRD,30.6921376,76.7361159
592,TDS,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
593,FS,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
594,Turbidity,NTU,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
595,TH as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
596,Ca as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
597,Mg as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
598,Sulphate,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
599,Chloride,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
600,Total alkalinity as CaCO3,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
601,P-Alkalinity,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
602,Fluoride,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
603,Colour,Hazen,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
604,Boron(B),mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
605,TKN,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
606,Potassium,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
607,Sodium,mg/l,"[01-10-2018, 31-10-2018]",,CPCB,3BRD,30.6921376,76.7361159
608,Total Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",9300.0,CPCB,3BRD,30.6921376,76.7361159
609,Faecal Coliform,MPN/100ml,"[01-10-2018, 31-10-2018]",6100.0,CPCB,3BRD,30.6921376,76.7361159
610,pH,-,"[01-11-2018, 30-11-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
611,Conductivity,µs/cm,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
612,DO,mg/l,"[01-11-2018, 30-11-2018]",5.6,CPCB,3BRD,30.6921376,76.7361159
613,COD,mg/l,"[01-11-2018, 30-11-2018]",32.0,CPCB,3BRD,30.6921376,76.7361159
614,BOD,mg/l,"[01-11-2018, 30-11-2018]",8.0,CPCB,3BRD,30.6921376,76.7361159
615,NO3-N,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
616,NH3-N,mg/l,"[01-11-2018, 30-11-2018]",6.0,CPCB,3BRD,30.6921376,76.7361159
617,Phosphate,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
618,TSS,mg/l,"[01-11-2018, 30-11-2018]",7.0,CPCB,3BRD,30.6921376,76.7361159
619,TDS,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
620,FS,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
621,Turbidity,NTU,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
622,TH as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
623,Ca as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
624,Mg as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
625,Sulphate,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
626,Chloride,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
627,Total alkalinity as CaCO3,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
628,P-Alkalinity,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
629,Fluoride,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
630,Colour,Hazen,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
631,Boron(B),mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
632,TKN,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
633,Potassium,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
634,Sodium,mg/l,"[01-11-2018, 30-11-2018]",,CPCB,3BRD,30.6921376,76.7361159
635,Total Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",8E+4,CPCB,3BRD,30.6921376,76.7361159
636,Faecal Coliform,MPN/100ml,"[01-11-2018, 30-11-2018]",4.5E+4,CPCB,3BRD,30.6921376,76.7361159
637,pH,-,"[01-12-2018, 31-12-2018]",7.3,CPCB,3BRD,30.6921376,76.7361159
638,Conductivity,µs/cm,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
639,DO,mg/l,"[01-12-2018, 31-12-2018]",3.6,CPCB,3BRD,30.6921376,76.7361159
640,COD,mg/l,"[01-12-2018, 31-12-2018]",28.0,CPCB,3BRD,30.6921376,76.7361159
641,BOD,mg/l,"[01-12-2018, 31-12-2018]",9.0,CPCB,3BRD,30.6921376,76.7361159
642,NO3-N,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
643,NH3-N,mg/l,"[01-12-2018, 31-12-2018]",10.0,CPCB,3BRD,30.6921376,76.7361159
644,Phosphate,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
645,TSS,mg/l,"[01-12-2018, 31-12-2018]",7.0,CPCB,3BRD,30.6921376,76.7361159
646,TDS,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
647,FS,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
648,Turbidity,NTU,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
649,TH as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
650,Ca as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
651,Mg as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
652,Sulphate,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
653,Chloride,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
654,Total alkalinity as CaCO3,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
655,P-Alkalinity,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
656,Fluoride,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
657,Colour,Hazen,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
658,Boron(B),mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
659,TKN,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
660,Potassium,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
661,Sodium,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,3BRD,30.6921376,76.7361159
662,Total Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",7.6E+4,CPCB,3BRD,30.6921376,76.7361159
663,Faecal Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",4E+4,CPCB,3BRD,30.6921376,76.7361159
664,BOD,mg/l,"[01-04-2020, 30-04-2020]",10.0,CPCB,3BRD,30.6921376,76.7361159
665,TSS,mg/l,"[01-04-2020, 30-04-2020]",19.0,CPCB,3BRD,30.6921376,76.7361159
666,Faecal Coliform,MPN/100ml,"[01-04-2020, 30-04-2020]",0.0,CPCB,3BRD,30.6921376,76.7361159
667,BOD,mg/l,"[01-05-2020, 31-05-2020]",10.0,CPCB,3BRD,30.6921376,76.7361159
668,TSS,mg/l,"[01-05-2020, 31-05-2020]",10.0,CPCB,3BRD,30.6921376,76.7361159
669,Faecal Coliform,MPN/100ml,"[01-05-2020, 31-05-2020]",230.0,CPCB,3BRD,30.6921376,76.7361159
670,BOD,mg/l,"[01-06-2020, 30-06-2020]",9.0,CPCB,3BRD,30.6921376,76.7361159
671,TSS,mg/l,"[01-06-2020, 30-06-2020]",3.0,CPCB,3BRD,30.6921376,76.7361159
672,Faecal Coliform,MPN/100ml,"[01-06-2020, 30-06-2020]",490.00000000000006,CPCB,3BRD,30.6921376,76.7361159
673,pH,-,"[01-01-2018, 31-01-2018]",6.5,CPCB,Diggian,30.6762491,76.7282489
674,Conductivity,µs/cm,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
675,DO,mg/l,"[01-01-2018, 31-01-2018]",0.0,CPCB,Diggian,30.6762491,76.7282489
676,COD,mg/l,"[01-01-2018, 31-01-2018]",198.0,CPCB,Diggian,30.6762491,76.7282489
677,BOD,mg/l,"[01-01-2018, 31-01-2018]",79.0,CPCB,Diggian,30.6762491,76.7282489
678,NO3-N,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
679,NH3-N,mg/l,"[01-01-2018, 31-01-2018]",20.0,CPCB,Diggian,30.6762491,76.7282489
680,Phosphate,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
681,TSS,mg/l,"[01-01-2018, 31-01-2018]",84.0,CPCB,Diggian,30.6762491,76.7282489
682,TDS,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
683,FS,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
684,Turbidity,NTU,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
685,TH as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
686,Ca as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
687,Mg as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
688,Sulphate,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
689,Chloride,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
690,Total alkalinity as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
691,P-Alkalinity,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
692,Fluoride,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
693,Colour,Hazen,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
694,Boron(B),mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
695,TKN,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
696,Potassium,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
697,Sodium,mg/l,"[01-01-2018, 31-01-2018]",,CPCB,Diggian,30.6762491,76.7282489
698,Total Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",9.3E+4,CPCB,Diggian,30.6762491,76.7282489
699,Faecal Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",6.1E+4,CPCB,Diggian,30.6762491,76.7282489
700,pH,-,"[01-02-2018, 28-02-2018]",7.0,CPCB,Diggian,30.6762491,76.7282489
701,Conductivity,µs/cm,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
702,DO,mg/l,"[01-02-2018, 28-02-2018]",3.9,CPCB,Diggian,30.6762491,76.7282489
703,COD,mg/l,"[01-02-2018, 28-02-2018]",198.0,CPCB,Diggian,30.6762491,76.7282489
704,BOD,mg/l,"[01-02-2018, 28-02-2018]",96.0,CPCB,Diggian,30.6762491,76.7282489
705,NO3-N,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
706,NH3-N,mg/l,"[01-02-2018, 28-02-2018]",26.0,CPCB,Diggian,30.6762491,76.7282489
707,Phosphate,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
708,TSS,mg/l,"[01-02-2018, 28-02-2018]",72.0,CPCB,Diggian,30.6762491,76.7282489
709,TDS,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
710,FS,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
711,Turbidity,NTU,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
712,TH as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
713,Ca as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
714,Mg as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
715,Sulphate,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
716,Chloride,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
717,Total alkalinity as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
718,P-Alkalinity,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
719,Fluoride,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
720,Colour,Hazen,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
721,Boron(B),mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
722,TKN,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
723,Potassium,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
724,Sodium,mg/l,"[01-02-2018, 28-02-2018]",,CPCB,Diggian,30.6762491,76.7282489
725,Total Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",930.0,CPCB,Diggian,30.6762491,76.7282489
726,Faecal Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",610.0,CPCB,Diggian,30.6762491,76.7282489
727,pH,-,"[01-03-2018, 31-03-2018]",7.2,CPCB,Diggian,30.6762491,76.7282489
728,Conductivity,µs/cm,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
729,DO,mg/l,"[01-03-2018, 31-03-2018]",3.5,CPCB,Diggian,30.6762491,76.7282489
730,COD,mg/l,"[01-03-2018, 31-03-2018]",200.0,CPCB,Diggian,30.6762491,76.7282489
731,BOD,mg/l,"[01-03-2018, 31-03-2018]",47.0,CPCB,Diggian,30.6762491,76.7282489
732,NO3-N,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
733,NH3-N,mg/l,"[01-03-2018, 31-03-2018]",32.0,CPCB,Diggian,30.6762491,76.7282489
734,Phosphate,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
735,TSS,mg/l,"[01-03-2018, 31-03-2018]",73.0,CPCB,Diggian,30.6762491,76.7282489
736,TDS,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
737,FS,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
738,Turbidity,NTU,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
739,TH as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
740,Ca as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
741,Mg as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",,CPCB,Diggian,30.6762491,76.7282489
